SNo;ObservationDate;Province/State;Country/Region;Last Update;Hour;Confirmed;Deaths;Mortes;Recovered;Recuperados;Active;New;Média;;;;;;;;;;;;;;;;;;;;;;;;
4609;10/03/2020;Florida;US;/2020-03-10T13:13:14/;;15;2;2;0;0;13;15;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
4802;11/03/2020;Florida;US;/2020-03-11T03:33:05/;;28;2;0;0;0;26;13;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
5018;12/03/2020;Florida;US;/2020-03-12T21:39:10/;;35;2;0;0;0;33;7;676,547619;;;;;;;;;;;;;;;;Observações;Máx.;Mín.;Média;Moda;Mediana;Desvio Padrão;Variância;Coeficiente de Variação
5334;13/03/2020;Florida;US;/2020-03-11T20:00:00/;;50;2;0;0;0;48;15;676,547619;;;;;;;;;;;;;;;Recuperados;0;0;0;0;0;0;0;0;0
5463;14/03/2020;Florida;US;/2020-03-14T18:53:03/;;76;3;1;0;0;73;26;676,547619;;;;;;;;;;;;;;;Mortes;2460;94;0;29,61;1;25;24,47;598,7;1,21
5698;15/03/2020;Florida;US;/2020-03-15T18:20:19/;;115;4;1;0;0;111;39;676,547619;;;;;;;;;;;;;;;Novos Casos;56830;2052;15;701,17;345;733;388,82;151178,84;1,8
5953;16/03/2020;Florida;US;/2020-03-16T22:13:21/;;155;5;1;0;0;150;40;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
6218;17/03/2020;Florida;US;/2020-03-17T23:33:02/;;216;6;1;0;0;210;61;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
6481;18/03/2020;Florida;US;/2020-03-18T19:14:34/;;314;7;1;0;0;307;98;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
6766;19/03/2020;Florida;US;/2020-03-19T23:43:04/;;417;9;2;0;0;408;103;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
7052;20/03/2020;Florida;US;/2020-03-20T23:43:03/;;563;10;1;0;0;553;146;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
7353;21/03/2020;Florida;US;/2020-03-21T23:13:18/;;659;13;3;0;0;646;96;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
7806;22/03/2020;Florida;US;08/03/2020;05:31:00;1004;13;0;0;0;991;345;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
8103;23/03/2020;Florida;US;3/23/2020;23:23:20;1227;18;5;0;0;1209;223;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
8399;24/03/2020;Florida;US;3/24/2020;23:41:50;1412;18;0;0;0;1394;185;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
8701;25/03/2020;Florida;US;3/25/2020;23:37:49;1682;23;5;0;0;1659;270;676,547619;;;;;;;;;;;;;;;0,916206678;0,5;0,416206678;;;;;;;
9005;26/03/2020;Florida;US;3/26/2020;23:53:24;2357;29;6;0;0;2328;675;676,547619;;;;;;;;;;;;;;;0,040059157;0,773372648;0,733313491;;;;;;;
9312;27/03/2020;Florida;US;3/27/2020;23:27:48;2900;35;6;0;0;2865;543;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
9622;28/03/2020;Florida;US;08/03/2020;05:31:00;3763;54;19;0;0;3709;863;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
9933;29/03/2020;Florida;US;08/03/2020;05:31:00;4246;56;2;0;0;4190;483;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
10245;30/03/2020;Florida;US;08/03/2020;05:31:00;5473;63;7;0;0;5410;1227;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
10558;31/03/2020;Florida;US;3/31/2020;23:49:27;6741;85;22;0;0;6656;1268;676,547619;;;;;;;;;;;;;;;0,959;0,5199;-0,4391;;;;;;;
10871;01/04/2020;Florida;US;04/01/2020;22:04:58;6956;87;2;0;0;6869;215;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
11186;02/04/2020;Florida;US;02/04/2020;08:53:00;9008;164;77;0;0;8844;2052;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
11501;03/04/2020;Florida;US;04/03/2020;22:52:45;10268;170;6;0;0;10098;1260;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
11817;04/04/2020;Florida;US;04/04/2020;09:38:00;11537;195;25;0;0;11342;1269;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
12135;05/04/2020;Florida;US;04/05/2020;23:13:44;12350;221;26;0;0;12129;813;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
12455;06/04/2020;Florida;US;06/04/2020;09:37:00;13324;236;15;0;0;13088;974;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
12775;07/04/2020;Florida;US;04/07/2020;23:11:31;14545;283;47;0;0;14262;1221;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
13095;08/04/2020;Florida;US;04/08/2020;22:59:00;15456;309;26;0;0;15147;911;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
13415;09/04/2020;Florida;US;04/09/2020;23:09:19;16364;354;45;0;0;16010;908;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
13736;10/04/2020;Florida;US;04/10/2020;23:01:43;17531;390;36;0;0;17141;1167;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
14057;11/04/2020;Florida;US;04/11/2020;22:52:46;18494;438;48;0;0;18056;963;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
14377;12/04/2020;Florida;US;04/12/2020;23:25:00;19895;461;23;0;0;19434;1401;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
14697;13/04/2020;Florida;US;4/13/2020;23:15:42;21019;499;38;0;0;20520;1124;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
15017;14/04/2020;Florida;US;4/14/2020;23:41:11;21628;571;72;0;0;21057;609;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
15337;15/04/2020;Florida;US;4/15/2020;23:04:26;22511;596;25;0;0;21915;883;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
15657;16/04/2020;Florida;US;4/16/2020;23:38:19;23343;668;72;0;0;22675;832;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
15977;17/04/2020;Florida;US;4/17/2020;23:38:48;24759;725;57;0;0;24034;1416;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
16297;18/04/2020;Florida;US;4/18/2020;22:40:18;25492;748;23;0;0;24744;733;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
16617;19/04/2020;Florida;US;4/19/2020;23:49:05;26314;774;26;0;0;25540;822;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
16937;20/04/2020;Florida;US;4/20/2020;23:44:50;27059;822;48;0;0;26237;745;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
17257;21/04/2020;Florida;US;4/21/2020;23:39:09;27869;867;45;0;0;27002;810;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
17577;22/04/2020;Florida;US;4/22/2020;23:38:57;28309;893;26;0;0;27416;440;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
17897;23/04/2020;Florida;US;4/24/2020;03:31:35;29648;987;94;0;0;28661;1339;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
18217;24/04/2020;Florida;US;4/25/2020;06:31:19;30533;1046;59;0;0;29487;885;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
18536;25/04/2020;Florida;US;4/26/2020;02:31:18;30839;1055;9;0;0;29784;306;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
18855;26/04/2020;Florida;US;4/27/2020;02:31:20;31532;1075;20;0;0;30457;693;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
19174;27/04/2020;Florida;US;4/28/2020;02:31:20;32138;1088;13;0;0;31050;606;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
19495;28/04/2020;Florida;US;4/29/2020;02:32:29;32848;1171;83;0;0;31677;710;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
19816;29/04/2020;Florida;US;4/30/2020;02:32:27;33193;1218;47;0;0;31975;345;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
20139;30/04/2020;Florida;US;05/01/2020;02:32:28;33690;1268;50;0;0;32422;497;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
20462;01/05/2020;Florida;US;05/02/2020;02:32:27;34728;1314;46;0;0;33414;1038;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
20785;02/05/2020;Florida;US;05/03/2020;02:32:28;35463;1364;50;0;0;34099;735;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
21108;03/05/2020;Florida;US;05/04/2020;02:32:28;36078;1379;15;0;0;34699;615;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
21431;04/05/2020;Florida;US;05/05/2020;02:32:34;36897;1399;20;0;0;35498;819;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
21754;05/05/2020;Florida;US;05/06/2020;02:32:31;37439;1471;72;0;0;35968;542;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
22077;06/05/2020;Florida;US;05/07/2020;02:32:28;38002;1539;68;0;0;36463;563;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
22400;07/05/2020;Florida;US;05/08/2020;02:32:32;38828;1600;61;0;0;37228;826;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
22723;08/05/2020;Florida;US;05/09/2020;02:32:35;39199;1669;69;0;0;37530;371;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
23046;09/05/2020;Florida;US;05/10/2020;02:32:30;40001;1715;46;0;0;38286;802;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
23369;10/05/2020;Florida;US;05/11/2020;02:32:30;40596;1721;6;0;0;38875;595;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
23692;11/05/2020;Florida;US;05/12/2020;03:32:27;40982;1735;14;0;0;39247;386;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
24015;12/05/2020;Florida;US;5/13/2020;03:32:26;41923;1779;44;0;0;40144;941;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
24339;13/05/2020;Florida;US;5/14/2020;03:32:28;42402;1827;48;0;0;40575;479;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
24682;14/05/2020;Florida;US;5/15/2020;02:33:02;43210;1875;48;0;0;41335;808;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
25059;15/05/2020;Florida;US;5/16/2020;02:32:19;44138;1917;42;0;0;42221;928;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
25436;16/05/2020;Florida;US;5/17/2020;02:32:32;44811;1964;47;0;0;42847;673;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
25813;17/05/2020;Florida;US;5/18/2020;02:32:21;45588;1973;9;0;0;43615;777;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
26190;18/05/2020;Florida;US;5/19/2020;02:32:18;46442;1997;24;0;0;44445;854;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
26567;19/05/2020;Florida;US;5/20/2020;02:32:19;46944;2052;55;0;0;44892;502;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
26967;20/05/2020;Florida;US;5/21/2020;02:32:48;47471;2096;44;0;0;45375;527;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
27419;21/05/2020;Florida;US;5/22/2020;02:36:51;48675;2144;48;0;0;46531;1204;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
27871;22/05/2020;Florida;US;5/23/2020;02:32:42;49451;2190;46;0;0;47261;776;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
28323;23/05/2020;Florida;US;5/24/2020;02:32:43;50127;2233;43;0;0;47894;676;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
28775;24/05/2020;Florida;US;5/25/2020;02:32:44;50867;2237;4;0;0;48630;740;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
29227;25/05/2020;Florida;US;5/26/2020;02:32:35;51746;2252;15;0;0;49494;879;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
29679;26/05/2020;Florida;US;5/27/2020;02:32:31;52255;2259;7;0;0;49996;509;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
30131;27/05/2020;Florida;US;5/28/2020;02:32:31;52634;2319;60;0;0;50315;379;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
30608;28/05/2020;Florida;US;5/29/2020;02:32:50;53285;2364;45;0;0;50921;651;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
31161;29/05/2020;Florida;US;5/30/2020;02:32:48;54497;2413;49;0;0;52084;1212;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
31715;30/05/2020;Florida;US;5/31/2020;02:32:45;55424;2447;34;0;0;52977;927;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
32270;31/05/2020;Florida;US;06/01/2020;02:32:46;56163;2451;4;0;0;53712;739;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
32844;01/06/2020;Florida;US;06/02/2020;02:33:08;56830;2460;9;0;0;54370;667;676,547619;;;;;;;;;;;;;;;;;;;;;;;;
